Full Name,Park Code
Mammoth Cave,maca
Manassas,mana
Manhattan Project,mapr
Manhattan Project,mapr
Manhattan Project,mapr
Manhattan Project,mapr
Manzanar,manz
Marsh,mabi
"Martin Luther King, Jr.",
"Martin Luther King, Jr.",malu
Martin Van Buren,mava
Mary Mcleod Bethune Council House,mamc
Mesa Verde,meve
Minute Man,mima
Minuteman Missile,mimi
Mississippi National River And Recreation Area,miss
Missouri National Recreational River,mnrr
Mojave,moja
Monocacy,mono
Montezuma Castle,moca
Moores Creek,mocr
Morristown,morr
Mount Rainier,mora
Mount Rushmore,moru
Muir Woods,muwo
Natchez,natc
Natchez Trace National Scenic Trail,natr
Natchez Trace Parkway,natr
National,nama
National Capital Parks,nace
National Mall And Memorial Parks,nama
Minidoka,miin
National Park,npsa
Natural Bridges,nabr
Navajo,nava
New Bedford Whaling,nebe
New Orleans Jazz,jazz
New River Gorge,neri
Nez Perce,nepe
Nicodemus,nico
Ninety Six,nisi
Niobrara,niob
Noatak,noat
North Cascades,noca
Obed,obri
Ocmulgee,ocmu
Olympic,olym
Oregon Caves,orca
Organ Pipe Cactus,orpi
Overmountain Victory,ovvi
Ozark National Scenic Riverway,ozar
Padre Island,pais
Palo Alto,paal
Parashant,para
Paterson Great Falls,pagr
Pea Ridge,peri
Pearl Harbor,perl
Pecos,peco
Pennsylvania Avenue,paav
Perry’S Victory And International Peace Memorial,pevi
Petersburg,pete
Petrified Forest,pefo
Petroglyph,petr
Pictured Rocks,piro
Pipe Spring,pisp
Pipestone,pipe
Pinnacles,pinn
Piscataway,pisc
Point Reyes,pore
Pu'Uhonua O Honaunau,puho
Pu'Ukohola Heiau,puhe
Port Chicago Naval Magazine,poch
Potomac Heritage,poht
Poverty Point State,popo
President William Jefferson Clinton Birthplace Home,wicl
Prince William Forest Park,prwi
Pullman,pull
Rainbow Bridge,rabr
Reconstruction Era,reer
Redwood,redw
Richmond,rich
Rio Grande,rigr
River Raisin,rira
Rock Creek,rocr
Rocky Mountain,romo
Roger Williams,rowi
Rosie The Riveter/Wwii Home Front,rori
Ross Lake,rola
Russell Cave,ruca
Sagamore Hill,sahi
Saguaro,sagu
Saint Croix,sacn
Saint Croix Island International Historic Site,sacr
Saint Paul'S Church,sapa
Saint,saga
Salem Maritime,sama
Salinas Pueblo Missions,sapu
Salt River Bay,sari
San Antonio Missions,saan
San Francisco Maritime,safr
Santa Monica Mountains,samo
San Juan,saju
San Juan Island,sajh
Sequoia,seki
Sand Creek Massacre,sand
Saratoga National Historical Park,sara
Saugus Iron Works,sair
Scotts Bluff,scbl
Selma To Montgomery,semo
Shenandoah,shen
Shiloh,shil
Sitka,sitk
Sleeping Bear Dunes,slbe
Springfield Armory,spar
Statue Of Liberty And Ellis Island,stli
Steamtown,stea
Ste Genevieve,stge
Stones River,stri
Stonewall,ston
Sunset Crater Volcano,sucr
Tallgrass Prairie,tapr
Thaddeus Kosciuszko,thko
Theodore Roosevelt,thro
Theodore Roosevelt Birthplace,thrb
Theodore Roosevelt Island,this
Thomas Edison,edis
Thomas Jefferson,thje
Thomas Stone,thst
Timpanogos Cave,tica
Timucuan Ecological,timu
Tonto,tont
Tule Lake,tule
Tule Springs Fossil Beds,tusk
Tumacacori,tuma
Tupelo,tupe
Tuskegee Airmen,tuai
Tuskegee Institute,tuin
Tuzigoot,tuzi
Ulysses S. Grant,ulsg
Upper Delaware,upde
Valles Caldera,vall
Valley Forge,vafo
Vanderbilt Mansion,vama
Vicksburg,vick
Vietnam Veterans,vive
Virgin Islands,viis
Virgin Islands Coral Reef,vicr
Voyageurs,voya
Waco Mammoth,waco
Walnut Canyon,waca
War In The Pacific,wapa
Washington Monument,wamo
Washita Battlefield,waba
Weir Farm,wefa
Whiskeytown,whis
White House,prpa
White Sands,whsa
Whitman Mission,whmi
William Howard Taft,wiho
Wilson’S Creek,wicr
Wind Cave,wica
Wolf Trap Park For The Performing Arts,wotr
Women'S Rights,wori
World War I,
