Camp Name,Camp Name,Park Name,Park Code,total Campsites,tent only sites,electrical hookups (for RV)
432,Oceanside Drive-in Campground,Assateague Island Ns,asis,16,0,0
433,Oceanside Group Campground,Assateague Island Ns,asis,5,5,0
434,Oceanside Walk-in campground,Assateague Island Ns,asis,21,21,0
435,Ocracoke Campground,Cape Hatteras,caha,135,0,0
436,Ohanapecosh Campground,Mount Rainier,mora,179,47,0
437,Opequon Junction Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,1,1,0
438,Oregon Inlet Campground,Cape Hatteras,caha,107,30,47
439,Otter Creek,Blue Ridge,blri,68,45,0
440,Owens Creek Campground,Catoctin Mountain,cato,50,0,0
441,Ozark Campground,Buffalo,buff,31,13,0
442,Ozette Campground,Olympic,olym,15,0,0
443,Paul Grist State Park,Selma To Montgomery,semo,0,0,0
444,Paw Paw Tunnel Campground,Chesapeake And Ohio Canal,choh,10,10,0
445,Peaks of Otter Campground,Blue Ridge,blri,139,88,0
446,Pebble Creek Campground,Yellowstone,yell,27,0,0
447,Peltier Bridge,Whiskeytown,whis,9,9,0
448,Pickerel Cove Campground,Isle Royale,isro,1,1,0
449,Pigmans Ferry Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,0,0,0
450,Pine Bluff Individual Backpacking Sites,Pictured Rocks,piro,5,5,0
451,Pine Springs Campground,Guadalupe Mountains,gumo,35,20,0
452,Pine Top Wilderness Campground,Guadalupe Mountains,gumo,8,8,0
453,Pinecrest,Big Cypress,bicy,4,0,0
454,Pink Jeep,Big Cypress,bicy,9,9,0
455,Pinnacles Campground,Pinnacles,pinn,134,83,25
456,Piñon Flats Campground,Great Sand Dunes,grsa,91,0,0
457,Platte River Campground,Sleeping Bear Dunes,slbe,179,0,96
458,Pleasant Camp,Klondike Gold Rush,klgo,11,11,0
459,Plum Creek Campgrounds,Lake Meredith,lamr,45,0,0
460,Point Supreme Campground,Cedar Breaks,cebr,25,7,0
461,Pond Pitch Campsite,Katahdin Woods And Waters,kaww,1,1,0
462,Ponderosa,Bandelier,band,2,2,0
463,Ponderosa Campground,Curecanti,cure,28,10,0
464,Poplar Grove Youth Group Tent Campground,Catoctin Mountain,cato,3,3,0
465,Popple Campground - South Manitou Island,Sleeping Bear Dunes,slbe,7,7,0
466,Porcupine Bay Campground,Lake Roosevelt,laro,20,0,0
467,Porcupine Flat Campground,Yosemite,yose,52,52,0
468,Potato Patch Individual Backpacking Sites,Pictured Rocks,piro,3,3,0
469,Potomac Forks Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,0,0,0
470,Potwisha Campground,Sequoia,seki,42,0,0
471,Prairie Creek,Selma To Montgomery,semo,0,0,0
472,Primitive campsites at Cathedral Campground,Capitol Reef,care,6,0,0
473,Primitive campsites at Cedar Mesa Campground,Capitol Reef,care,5,0,0
474,Prince William Forest RV Campground,Prince William Forest Park,prwi,72,1,72
475,Pulltite Campground,Ozark National Scenic Riverway,ozar,55,3,0
476,Purple Point Campground,North Cascades,noca,6,6,0
477,Purslane Run Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,1,1,0
478,Quartz Creek,Glacier,glac,7,0,0
479,Queets Campground,Olympic,olym,20,0,0
480,Rainbow Park Campground,Dinosaur,dino,4,4,0
481,Red Creek Campground,Curecanti,cure,2,0,0
482,Riley Creek,Denali,dena,142,20,0
483,Rio Grande Village Campground,Big Bend,bibe,93,0,0
484,Rio Grande Village RV,Big Bend,bibe,25,0,25
485,Rising Sun,Glacier,glac,84,0,0
486,Rivers Bend Group Campground,Delaware Water Gap,dewa,5,0,0
487,Rock Creek Campground,Obed Wild & Scenic River,obed,11,11,0
488,Rock Creek Campground,Chickasaw,chic,100,0,0
489,Rock Harbor Campground,Isle Royale,isro,23,11,0
490,Rocky Knob Campground,Blue Ridge,blri,106,25,0
491,"Rocky Springs Campground, Milepost 54.8",Natchez Trace Parkway,natr,22,0,0
492,Rosita Flats,Lake Meredith,lamr,75,0,0
493,Rough Canyon Campground,Amistad,amis,4,0,0
494,Round Spring Campground,Ozark National Scenic Riverway,ozar,55,2,6
495,Roundup Group Horse Camp,Theodore Roosevelt,thro,1,0,0
496,Rush Campground,Buffalo,buff,12,12,0
497,Ryan Campground,Joshua Tree,jotr,32,0,0
498,Saddlehorn Campground,Colorado,colm,80,0,0
499,Sage Creek Campground,Badlands,badl,22,0,0
500,Saline Valley Campground (Primitive),Death Valley,deva,15,0,0
501,San Miguel Island Campground,Channel Islands,chis,9,9,0
502,San Pedro Campground,Amistad,amis,41,0,0
503,Sanctuary River,Denali,dena,7,7,0
504,Sandbank Stream Campground,Katahdin Woods And Waters,kaww,3,0,0
505,Sandy Hook Camp Ground,Gateway,gate,20,20,0
506,Sanford Yake Campground,Lake Meredith,lamr,51,0,0
507,Santa Barbara Island Campground,Channel Islands,chis,10,10,0
508,Santa Cruz Island Del Norte Backcountry Campground,Channel Islands,chis,4,4,0
509,Santa Cruz Island Scorpion Canyon Campground,Channel Islands,chis,31,31,0
510,Santa Rosa Island Backcountry Beach Camping,Channel Islands,chis,30,30,0
511,Santa Rosa Island Campground,Channel Islands,chis,15,15,0
512,Savage River,Denali,dena,32,0,0
513,Schoodic Woods Campground,Acadia,acad,89,13,78
514,Sea Camp Campground,Cumberland Island,cuis,18,18,0
515,Seawall Campground,Acadia,acad,202,43,0
516,Sentinel Campground,Sequoia,seki,82,0,0
517,Sevenmile Creek Group Backpacking Site,Pictured Rocks,piro,1,1,0
518,Sevenmile Creek Individual Backpacking Sites,Pictured Rocks,piro,5,5,0
519,Sheep Camp,Klondike Gold Rush,klgo,27,27,0
520,Sheep Camp,Whiskeytown,whis,4,4,0
521,Sheep Creek Campground,Sequoia,seki,111,0,0
522,Sheep Pass Group Campground,Joshua Tree,jotr,6,6,0
523,Shumard Canyon Wilderness Campground,Guadalupe Mountains,gumo,5,5,0
524,Signal Mountain Campground,Grand Teton,grte,81,4,25
525,Siskiwit Bay Campground,Isle Royale,isro,9,4,0
526,Sky Campground,Point Reyes,pore,12,12,0
527,Slough Creek Campground,Yellowstone,yell,16,0,0
528,Smokemont Campground,Great Smoky Mountains,grsm,142,0,0
529,Smokemont Group Campground,Great Smoky Mountains,grsm,0,0,0
530,Smoky Mountain Campground,City Of Rocks National Reserve,ciro,38,0,38
531,Snag Cove Campground,Lake Roosevelt,laro,9,0,0
532,Snake Creek Primitive Campgrounds,Great Basin,grba,12,12,0
533,Sorrel Ridge Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,1,1,0
534,South Beach Campground,Olympic,olym,55,0,0
535,South Campground,Zion National Park,zion,117,8,0
536,South Core Banks -- Beach camping,Cape Lookout,calo,1,0,0
537,South Fork Campground,Sequoia,seki,10,10,0
538,South Lake Desor Campground,Isle Royale,isro,10,7,0
539,South Rim Campground,Black Canyon Of The Gunnison,blca,88,0,23
540,Southwest Walk-In Campground,Lassen Volcanic,lavo,21,21,0
541,Split Mountain Group Campground,Dinosaur,dino,4,0,0
542,Sprague Creek Campground,Glacier,glac,25,0,0
543,Spring Canyon Campground,Lake Roosevelt,laro,68,0,0
544,Spring Canyon Group Sites,Lake Roosevelt,laro,2,0,0
545,Spring Creek Campground,Buffalo,buff,12,12,0
546,Spring Gap Campground,Chesapeake And Ohio Canal,choh,14,0,0
547,Spud Rock Spring,Saguaro,sagu,0,0,0
548,Spur 406 Campground,Amistad,amis,6,0,0
549,St. Mary,Glacier,glac,148,7,0
550,Stafford Beach Campground,Cumberland Island,cuis,10,10,0
551,Stair Falls Campsite,Katahdin Woods And Waters,kaww,1,1,0
552,Staircase Campground,Olympic,olym,49,0,0
553,Stanton Creek Primitive Camping Area,Glen Canyon,glca,0,0,0
554,Station Camp Campground,Big South Fork,biso,24,24,24
555,Steel Creek Campground,Buffalo,buff,40,26,0
556,Stevens Creek Campground,Curecanti,cure,53,0,0
557,Stickpile Hill Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,1,1,0
558,Stone Cliff,New River Gorge,neri,7,6,0
559,Stovepipe Wells Campground,Death Valley,deva,190,28,0
560,Summit Lake North Campground,Lassen Volcanic,lavo,46,0,0
561,Summit Lake South Campground,Lassen Volcanic,lavo,49,23,0
562,Sunset Campground,Bryce Canyon,brca,100,50,0
563,Sunset Campground,Death Valley,deva,230,0,0
564,Sunset Campground,Sequoia,seki,158,0,0
565,Sunset View Campground,Navajo,nava,0,0,0
566,Swains Lock Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,5,5,0
567,Tamarack Flat Campground,Yosemite,yose,52,52,0
568,Tejas Wilderness Campground,Guadalupe Mountains,gumo,5,5,0
569,Teklanika River,Denali,dena,53,0,0
570,Temple Bar Campground (Lake Mead),Lake Mead,lake,71,71,0
571,Temple Bar RV Park (Lake Mead),Lake Mead,lake,0,0,0
572,Texas Springs Campground,Death Valley,deva,92,26,0
573,Thayer Campground,New River Gorge,neri,4,4,0
574,The Colonies RV and Travel Park,Fort Monroe,fomr,47,25,22
575,The Needles Campground,Canyonlands,cany,29,5,0
576,The Point Campground,Chickasaw,chic,55,0,22
577,Thorndike Campground (Primitive),Death Valley,deva,6,0,0
578,Three Mile Campground,Isle Royale,isro,15,4,0
579,Timber Creek Campground,Rocky Mountain,romo,98,30,0
580,Todd Harbor Campground,Isle Royale,isro,9,5,0
581,Tomales Bay Boat-in Camping,Point Reyes,pore,20,20,0
582,Tookers Island Campground,Isle Royale,isro,2,0,0
583,Tower Fall Campground,Yellowstone,yell,31,0,0
584,Town Creek Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,1,1,0
585,Trailer Village RV Park - South Rim,Grand Canyon,grca,123,0,80
586,Trappers Lake Group Backpacking Site,Pictured Rocks,piro,1,1,0
587,Trappers Lake Individual Backpacking Sites,Pictured Rocks,piro,5,5,0
588,Tuolumne Meadows Campground,Yosemite,yose,304,61,0
589,Turkey Run Ridge Group Campground,Prince William Forest Park,prwi,9,9,0
590,Turtle Run Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,1,1,0
591,Twelvemile Beach Campground,Pictured Rocks,piro,36,0,0
592,Twin Peaks Campground,Organ Pipe Cactus,orpi,208,34,0
593,Two Medicine,Glacier,glac,100,0,0
594,Two Rivers Campground,Ozark National Scenic Riverway,ozar,22,5,0
595,Tyler Bend Campground,Buffalo,buff,42,10,0
596,Upper East Branch Campsite,Katahdin Woods And Waters,kaww,1,1,0
597,Upper Goodell Creek Group Campsite,North Cascades,noca,1,1,0
598,Upper Lehman Campground,Great Basin,grba,23,0,0
599,Upper Pines Campground,Yosemite,yose,235,5,0
600,Upper Scorpion Campground,Gila Cliff Dwellings,gicl,12,12,0
601,Valley View Group Campground,Delaware Water Gap,dewa,5,5,0
602,Village Campground - North Manitou Island,Sleeping Bear Dunes,slbe,8,8,0
603,Wahweap Campground & RV Park,Glen Canyon,glca,266,9,139
604,War Ridge/Backus Mountain Campground,New River Gorge,neri,8,0,0
605,Warner Valley Campground,Lassen Volcanic,lavo,17,0,0
606,Washington Creek Campground,Isle Royale,isro,19,5,0
607,Wassataquoik Campsite,Katahdin Woods And Waters,kaww,1,1,0
608,Wassataquoik Lean-to,Katahdin Woods And Waters,kaww,1,0,0
609,Watch Hill Family Campground,Fire Island,fiis,28,22,0
610,Watchman Campground,Zion National Park,zion,176,69,95
611,Wawona Campground,Yosemite,yose,95,47,0
612,Wawona Horse Camp,Yosemite,yose,2,0,0
613,Weather Station Campground - South Manitou Island,Sleeping Bear Dunes,slbe,23,23,0
614,West Chickenbone Campground,Isle Royale,isro,9,6,0
615,Wheeler Peak Campground,Great Basin,grba,37,0,0
616,White Pine Backcountry Campground,Sleeping Bear Dunes,slbe,6,6,0
617,White River Campground,Mount Rainier,mora,88,15,0
618,White Rock Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,1,1,0
619,White Tank Campground,Joshua Tree,jotr,15,0,0
620,White Wolf Campground,Yosemite,yose,74,0,0
621,Wildcat Campground,Point Reyes,pore,8,8,0
622,Wilderness Cabins,Haleakala,hale,3,0,0
623,Wilderness Ridge Wilderness Campground,Guadalupe Mountains,gumo,5,5,0
624,Wilderness Road Campground,Cumberland Gap,cuga,160,106,41
625,Wilderness Tent Sites,Haleakala,hale,10,10,0
626,Wildrose Campground,Death Valley,deva,23,0,0
627,Willow Beach Campground (Lake Mohave),Lake Mead,lake,9,9,0
628,Willow Beach RV Park,Lake Mead,lake,28,0,28
629,Wonder Lake,Denali,dena,28,28,0
630,Wood Lake Campground,Isle Royale,isro,3,3,0
631,Woolum,Buffalo,buff,0,0,0
632,Yankee Paradise Wilderness Campsite,Cumberland Island,cuis,4,4,0
633,Yosemite Creek Campground,Yosemite,yose,75,75,0
