Camp Name,Camp Name,Park Name,Park Code,total Campsites,tent only sites,electrical hookups (for RV)
97,Cades Cove Campground,Great Smoky Mountains,grsm,159,31,0
98,Cades Cove Group Campground,Great Smoky Mountains,grsm,3,3,0
99,Calico Rocks Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,1,1,0
100,Callville Bay Campground (Lake Mead),Lake Mead,lake,52,52,0
101,Callville Bay RV Park (Lake Mead),Lake Mead,lake,0,0,0
102,Camp 4 Campground,Yosemite,yose,25,25,0
103,Camp Greentop,Catoctin Mountain,cato,16,0,0
104,Camp Misty Mount,Catoctin Mountain,cato,30,0,0
105,Camp Round Meadow,Catoctin Mountain,cato,1,0,0
106,Camping and Huts,Katahdin Woods And Waters,kaww,24,15,0
107,Canaveral National Seashore Backcountry Island Camping,Canaveral,cana,14,14,0
108,Canyon Campground,Yellowstone,yell,273,0,0
109,Canyon City,Klondike Gold Rush,klgo,11,11,0
110,Canyon View Campground,Navajo,nava,13,13,0
111,Canyon View Campground,Sequoia,seki,16,0,0
112,Cape Point Campground,Cape Hatteras,caha,202,0,0
113,Caribou Island Campground,Isle Royale,isro,3,1,0
114,Carver Campground,Buffalo,buff,8,8,0
115,Cataloochee Campground,Great Smoky Mountains,grsm,27,0,0
116,Cave Creek Campground,Oregon Caves,orca,17,17,0
117,Cedar Canyon Campground,Lake Meredith,lamr,15,0,0
118,Cedar Pass Campground,Badlands,badl,96,82,10
119,Central Avenue Walk-in Sites,Indiana Dunes,indu,5,5,0
120,Central Campground,Chickasaw,chic,0,0,0
121,Chapel Individual Backpacking Sites,Pictured Rocks,piro,6,6,0
122,Chimney Hollow Campground,Lake Meredith,lamr,15,0,0
123,Chippewa Harbor Campground,Isle Royale,isro,7,2,0
124,Chisel Branch Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,1,1,0
125,Chisos Basin Campground,Big Bend,bibe,56,0,0
126,Chopawamsic Backcountry Area,Prince William Forest Park,prwi,8,8,0
127,Cimarron Campground,Curecanti,cure,21,0,0
128,Circle X Ranch Campground - CLOSED,Santa Monica Mountains,samo,1,0,0
129,City of Rocks Campground,City Of Rocks National Reserve,ciro,67,49,0
130,Cliffs Group Backpacking Site,Pictured Rocks,piro,1,1,0
131,Cliffs Individual Backpacking Sites,Pictured Rocks,piro,3,3,0
132,Cloverleaf Campground,Lake Roosevelt,laro,7,7,0
133,Coast Campground,Point Reyes,pore,14,14,0
134,Cold Springs Campground,Sequoia,seki,40,40,0
135,Cold Springs Campground,Chickasaw,chic,65,0,0
136,Colonial Creek North Campground,North Cascades,noca,41,10,0
137,Colonial Creek South Campground,North Cascades,noca,96,19,0
138,Colorado River Primitive Camping Between Glen Canyon Dam and Lees Ferry,Glen Canyon,glca,5,5,0
139,Colter Bay Campground,Grand Teton,grte,324,0,13
140,Colter Bay RV Park,Grand Teton,grte,112,0,112
141,Colter Bay Tent Village,Grand Teton,grte,66,0,0
142,Cosby Campground,Great Smoky Mountains,grsm,157,0,0
143,Cottonwood Campground,Joshua Tree,jotr,62,0,0
144,Cottonwood Campground,Theodore Roosevelt,thro,76,12,0
145,Cottonwood Campground,Big Bend,bibe,22,0,0
146,Cottonwood Cove Campground (Lake Mohave),Lake Mead,lake,45,45,0
147,Cottonwood Cove RV Park (Lake Mead),Lake Mead,lake,72,0,72
148,Cougar Rock Campground,Mount Rainier,mora,179,78,0
149,Coves Group Backpacking Site,Pictured Rocks,piro,1,1,0
150,Coves Individual Backpacking Sites,Pictured Rocks,piro,5,5,0
151,Crabtree Falls Campground,Blue Ridge,blri,81,0,0
152,Crane Flat Campground,Yosemite,yose,151,0,0
153,Crystal Creek,Whiskeytown,whis,2,2,0
154,Crystal Springs Campground,Sequoia,seki,50,0,0
155,Cumberland Valley Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,1,1,0
156,Cut Bank,Glacier,glac,14,0,0
157,D. H. Day Campground,Sleeping Bear Dunes,slbe,87,23,0
158,D. H. Day Campground Group Campground,Sleeping Bear Dunes,slbe,4,4,0
159,Daisy Farm Campground,Isle Royale,isro,25,6,0
160,Davis Bayou Campground,Gulf Islands,guis,52,3,52
161,Dayboard 9 Campground,Bighorn Canyon,bica,5,5,0
162,Deep Creek Campground,Great Smoky Mountains,grsm,92,0,0
163,Deerlodge Park Campground,Dinosaur,dino,7,7,0
164,Desert View Campground (Reservations Required),Grand Canyon,grca,49,0,0
165,Devils Alley Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,1,1,0
166,Devils Garden Campground,Arches,arch,51,0,0
167,Dingmans Campground,Delaware Water Gap,dewa,136,80,34
168,Dog Canyon Campground,Guadalupe Mountains,gumo,15,9,0
169,Dorst Creek Campground,Sequoia,seki,222,12,0
170,Dosewallips Campground (Walk-In Only),Olympic,olym,14,14,0
171,Doughton Park Campground,Blue Ridge,blri,108,75,0
172,Douglas Spring,Saguaro,sagu,0,0,0
173,Dry Creek Group Campground,Whiskeytown,whis,2,2,0
174,Dry Gulch Campground,Curecanti,cure,9,0,0
175,Duck Harbor Campground,Acadia,acad,5,5,0
176,Dump Station,Great Basin,grba,0,0,0
177,Dunbar Group Site,Indiana Dunes,indu,1,10,0
178,Duncan Bay Campground,Isle Royale,isro,3,1,0
179,Duncan Narrows Campground,Isle Royale,isro,3,1,0
180,Dundo Group Campground,Shenandoah,shen,3,3,0
181,Dunewood Campground,Indiana Dunes,indu,66,66,0
182,Dyea Campground,Klondike Gold Rush,klgo,22,3,0
183,East Chickenbone Campground,Isle Royale,isro,4,3,0
184,East Elk Creek Group Campground,Curecanti,cure,1,0,0
185,East Portal Campground,Curecanti,cure,15,10,0
186,East Portal Campground,Black Canyon Of The Gunnison,blca,15,10,0
187,Echo Bay Campground (Lake Mead),Lake Mead,lake,52,52,0
188,Echo Bay RV Park (Lake Mead),Lake Mead,lake,55,0,55
189,Echo Park Campground,Dinosaur,dino,22,17,0
190,El Morro Campground,El Morro,elmo,9,0,0
191,Elk Creek Campground,Curecanti,cure,160,14,27
192,Elk Mountain Campground,Wind Cave,wica,61,62,0
193,Elk Prairie Campgound,Redwood,redw,75,21,0
194,Elkmont Campground,Great Smoky Mountains,grsm,220,23,0
195,Elkmont Group Campground,Great Smoky Mountains,grsm,4,4,0
196,Elliott Key Campground,Biscayne,bisc,20,20,0
197,Emigrant Campground,Death Valley,deva,10,10,0
198,Erbie Campground,Buffalo,buff,21,2,0
199,Esker Campsite,Katahdin Woods And Waters,kaww,1,1,0
200,Eureka Dunes Campground (Primitive),Death Valley,deva,7,0,0
201,Evans Campground,Lake Roosevelt,laro,43,3,0
202,Evans Group Site,Lake Roosevelt,laro,1,0,0
203,Evitts Creek Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,1,0,0
204,Exit Glacier Campground,Kenai,kefj,12,12,0
205,Fairholme Campground,Olympic,olym,88,0,0
206,Feldtmann Lake Campground,Isle Royale,isro,7,5,0
207,Fifteenmile Creek Campground,Chesapeake And Ohio Canal,choh,10,1,0
208,Finnegan's Point,Klondike Gold Rush,klgo,6,6,0
209,Fish Creek,Glacier,glac,178,4,0
210,Fishing Bridge RV Park,Yellowstone,yell,310,0,310
211,Flamingo Campground,Everglades,ever,274,274,41
212,Fort Casey State Park,Ebey'S Landing National Historical Reserve,ebla,0,0,0
213,Fort Charlotte Backcountry Campgrounds,Grand Portage,grpo,2,2,0
214,Fort Ebey State Park,Ebey'S Landing National Historical Reserve,ebla,0,0,0
215,Fort Pickens Campground,Gulf Islands,guis,200,20,200
216,Fort Spokane Campground,Lake Roosevelt,laro,67,4,0
217,Fort Spokane Group Sites,Lake Roosevelt,laro,2,0,0
218,Fort Wadsworth Campsite,Gateway,gate,7,7,0
219,Frijole Horse Corral Campground,Guadalupe Mountains,gumo,1,1,0
220,Frisco Campground,Cape Hatteras,caha,117,3,0
221,Fritch Fortress,Lake Meredith,lamr,15,0,0
222,Fruita Campground,Capitol Reef,care,71,7,0
223,Furnace Creek Campground,Death Valley,deva,136,45,18
224,Garden Key Campground,Dry Tortugas,drto,8,8,0
225,Gates of Lodore Campground,Dinosaur,dino,19,0,0
226,Gateview Campground,Curecanti,cure,6,6,0
227,Gator Head,Big Cypress,bicy,9,9,0
228,Gauley Tailwaters,Gauley,gari,18,0,0
229,Gifford Campground,Lake Roosevelt,laro,42,0,0
230,Gifford Group Site,Lake Roosevelt,laro,1,0,0
231,Glacier Basin Campground,Rocky Mountain,romo,150,73,0
232,Glade Creek Campground,New River Gorge,neri,11,6,0
233,Glen Campground,Point Reyes,pore,12,12,0
234,Goat Island Primitive Camping,Missouri National Recreational River,mnrr,2,2,0
235,Gold Bluffs Beach Campground,Redwood,redw,26,0,0
236,Goodell Creek Campground,North Cascades,noca,19,0,0
237,Gorge Lake Campground,North Cascades,noca,8,8,0
238,Governors Landing Campground,Amistad,amis,15,0,0
239,Grace Island Campground,Isle Royale,isro,2,0,0
240,Grand Pitch Lean-to,Katahdin Woods And Waters,kaww,1,0,0
241,Grand Sable Lake Boat-In Site,Pictured Rocks,piro,1,1,0
242,Grandview Sandbar,New River Gorge,neri,16,6,0
243,Grant Village Campground,Yellowstone,yell,430,0,0
244,Grapevine Campground,Bighorn Canyon,bica,14,6,0
245,Grass Shack,Saguaro,sagu,0,0,0
246,Graves Creek Campground,Olympic,olym,30,0,0
247,Great Island Cabin Camp,Cape Lookout,calo,23,0,0
248,Green Island Primitive Camping,Missouri National Recreational River,mnrr,5,5,0
249,Green River Campground,Dinosaur,dino,80,0,0
250,Greenbelt Park Campground,Greenbelt,gree,172,30,0
251,Grey Cliffs Campground,Great Basin,grba,16,0,0
252,Gros Ventre Campground,Grand Teton,grte,279,0,39
253,Group Campsite,Capitol Reef,care,1,0,0
254,Guadalupe Peak Wilderness Campground,Guadalupe Mountains,gumo,5,5,0
255,Gulpha Gorge Campground,Hot Springs,hosp,40,0,40
256,Gunter Hill Campground,Selma To Montgomery,semo,0,0,0
257,Guy Sandy Campground,Chickasaw,chic,40,3,0
258,Haag Cove Campground,Lake Roosevelt,laro,18,6,0
259,Halls Crossing RV & Campground,Glen Canyon,glca,72,41,31
260,Happy Valley Saddle,Saguaro,sagu,0,0,0
261,Harbor Bay Campground,Lake Meredith,lamr,25,0,0
262,Harlequin Campground,North Cascades,noca,7,0,0
263,Haskell Campsite,Katahdin Woods And Waters,kaww,1,1,0
264,Haskell Hut,Katahdin Woods And Waters,kaww,1,0,0
265,Hatchet Lake Campground,Isle Royale,isro,8,5,0
266,Hawk Campground,Golden Gate,goga,3,3,0
267,Hawk Creek Campground,Lake Roosevelt,laro,20,0,0
268,Hay Bay Campground,Isle Royale,isro,1,1,0
269,Haypress Campground,Golden Gate,goga,6,5,0
270,Headwaters Campground,Grand Teton,grte,171,34,0
271,Heart O' the Hills Campground,Olympic,olym,97,0,0
272,Hickory Hill Wilderness Campsite,Cumberland Island,cuis,4,4,0
273,Hidden Valley Campground,Joshua Tree,jotr,44,0,0
274,Hite Outpost Adventure Center - Closed until further notice,Glen Canyon,glca,35,21,14
275,"Hite Primitive (Dirty Devil, Farley, White Canyon) camping",Glen Canyon,glca,0,0,0
276,Hodgdon Meadow Campground,Yosemite,yose,103,68,0
277,Hoh Campground,Olympic,olym,78,0,0
278,Hole-in-the-Wall Campground,Mojave,moja,35,2,0
279,Homestake Campground (Primitive),Death Valley,deva,10,0,0
280,Horse Camp,Whiskeytown,whis,2,3,0
281,Horse camping,Assateague Island Ns,asis,2,6,0
282,Horsepen Branch Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,1,1,0
283,Horseshoe Bend Campground,Bighorn Canyon,bica,68,0,28
284,Horseshoe Bend Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,1,1,0
285,Hosmer Grove Campground,Haleakala,hale,6,6,0
286,Houchin Ferry Campground,Mammoth Cave,maca,12,12,0
287,Hovenweep Campground,Hovenweep,hove,31,0,0
288,Hozomeen Campground,North Cascades,noca,75,0,0
289,Huckleberry Hill Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,0,0,0
290,Huginnin Cove Campground,Isle Royale,isro,5,5,0
291,Hunters Campground,Lake Roosevelt,laro,37,0,0
292,Hunters Group Sites,Lake Roosevelt,laro,3,0,0
293,Hurricane River Campground,Pictured Rocks,piro,21,0,0
294,Igloo Creek,Denali,dena,7,7,0
295,Indian Cove Campground,Joshua Tree,jotr,101,0,0
296,Indian Creek Campground,Yellowstone,yell,70,0,0
297,Indian Flats Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,0,0,0
298,Indian Well Campground,Lava Beds,labe,43,0,0
299,Indigo Neck Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,1,1,0
300,Intermediate Lake Campground,Isle Royale,isro,3,3,0
301,Irons Mountain Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,0,0,0
302,Island Mine Campground,Isle Royale,isro,6,4,0
303,Island in the Sky (Willow Flat) Campground,Canyonlands,cany,12,0,0
