Camp Name,Camp Name,Park Name,Park Code,Amenities
102,Camp 4 Campground,Yosemite,yose,"{'trashRecyclingCollection': 'Yes - year round', 'toilets': ['Flush Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['Hot - Year Round'], 'cellPhoneReception': 'Yes - year round', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - year round'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'Yes - year round'}"
103,Camp Greentop,Catoctin Mountain,cato,"{'trashRecyclingCollection': 'Yes - year round', 'toilets': ['Flush Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['Hot - Seasonal'], 'cellPhoneReception': 'Yes - seasonal', 'laundry': 'No', 'amphitheater': 'Yes - seasonal', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['Yes - year round'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'Yes - seasonal', 'foodStorageLockers': 'No'}"
104,Camp Misty Mount,Catoctin Mountain,cato,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Flush Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['Hot - Seasonal'], 'cellPhoneReception': 'Yes - seasonal', 'laundry': 'No', 'amphitheater': 'Yes - seasonal', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'Yes - seasonal', 'foodStorageLockers': 'No'}"
105,Camp Round Meadow,Catoctin Mountain,cato,"{'trashRecyclingCollection': 'Yes - year round', 'toilets': ['Flush Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['Hot - Year Round'], 'cellPhoneReception': 'Yes - year round', 'laundry': 'No', 'amphitheater': 'Yes - year round', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['Yes - year round'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'Yes - year round', 'foodStorageLockers': 'No'}"
106,Camping and Huts,Katahdin Woods And Waters,kaww,"{'trashRecyclingCollection': '', 'toilets': [], 'internetConnectivity': '', 'showers': [], 'cellPhoneReception': '', 'laundry': '', 'amphitheater': '', 'dumpStation': '', 'campStore': '', 'staffOrVolunteerHostOnsite': '', 'potableWater': [], 'iceAvailableForSale': '', 'firewoodForSale': '', 'foodStorageLockers': ''}"
107,Canaveral National Seashore Backcountry Island Camping,Canaveral,cana,"{'trashRecyclingCollection': 'No', 'toilets': ['No Toilets'], 'internetConnectivity': 'Yes - year round', 'showers': ['None'], 'cellPhoneReception': 'Yes - year round', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['No water'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
108,Canyon Campground,Yellowstone,yell,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Flush Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['Hot - Seasonal'], 'cellPhoneReception': 'Yes - seasonal', 'laundry': 'Yes - seasonal', 'amphitheater': 'Yes - seasonal', 'dumpStation': 'Yes - seasonal', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'Yes - seasonal', 'firewoodForSale': 'Yes - seasonal', 'foodStorageLockers': 'Yes - seasonal'}"
109,Canyon City,Klondike Gold Rush,klgo,"{'trashRecyclingCollection': 'No', 'toilets': ['Composting Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['Water', ' but not potable'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'Yes - year round'}"
110,Canyon View Campground,Navajo,nava,"{'trashRecyclingCollection': '', 'toilets': [], 'internetConnectivity': '', 'showers': [], 'cellPhoneReception': '', 'laundry': '', 'amphitheater': '', 'dumpStation': '', 'campStore': '', 'staffOrVolunteerHostOnsite': '', 'potableWater': [], 'iceAvailableForSale': '', 'firewoodForSale': '', 'foodStorageLockers': ''}"
111,Canyon View Campground,Sequoia,seki,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Flush Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'Yes - seasonal', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'Yes - seasonal', 'firewoodForSale': 'Yes - seasonal', 'foodStorageLockers': 'Yes - seasonal'}"
112,Cape Point Campground,Cape Hatteras,caha,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Flush Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['Cold- Seasonal', 'Free - Seasonal'], 'cellPhoneReception': 'Yes - seasonal', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'Yes - seasonal', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
113,Caribou Island Campground,Isle Royale,isro,"{'trashRecyclingCollection': 'No', 'toilets': ['Composting Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['Water', ' but not potable'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
114,Carver Campground,Buffalo,buff,"{'trashRecyclingCollection': 'No', 'toilets': ['Vault Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
115,Cataloochee Campground,Great Smoky Mountains,grsm,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Flush Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'Yes - seasonal'}"
116,Cave Creek Campground,Oregon Caves,orca,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Vault Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
117,Cedar Canyon Campground,Lake Meredith,lamr,"{'trashRecyclingCollection': 'Yes - year round', 'toilets': ['Flush Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['Yes - year round'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
118,Cedar Pass Campground,Badlands,badl,"{'trashRecyclingCollection': 'Yes - year round', 'toilets': ['Flush Toilets - seasonal', 'Vault Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['Hot - Seasonal', 'Coin-Operated - Seasonal'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'Yes - seasonal', 'dumpStation': 'Yes - year round', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - year round'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
119,Central Avenue Walk-in Sites,Indiana Dunes,indu,"{'trashRecyclingCollection': 'No', 'toilets': ['Flush Toilets - seasonal', 'Portable Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'Yes - year round', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['No water'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
120,Central Campground,Chickasaw,chic,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Flush Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'Yes - year round', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
121,Chapel Individual Backpacking Sites,Pictured Rocks,piro,"{'trashRecyclingCollection': 'No', 'toilets': ['Vault Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['Water', ' but not potable'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'Yes - seasonal'}"
122,Chimney Hollow Campground,Lake Meredith,lamr,"{'trashRecyclingCollection': '', 'toilets': [], 'internetConnectivity': '', 'showers': [], 'cellPhoneReception': '', 'laundry': '', 'amphitheater': '', 'dumpStation': '', 'campStore': '', 'staffOrVolunteerHostOnsite': '', 'potableWater': [], 'iceAvailableForSale': '', 'firewoodForSale': '', 'foodStorageLockers': ''}"
123,Chippewa Harbor Campground,Isle Royale,isro,"{'trashRecyclingCollection': 'No', 'toilets': ['Composting Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['Water', ' but not potable'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
124,Chisel Branch Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,"{'trashRecyclingCollection': 'No', 'toilets': ['Portable Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'Yes - seasonal', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['Water', ' but not potable'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
125,Chisos Basin Campground,Big Bend,bibe,"{'trashRecyclingCollection': 'Yes - year round', 'toilets': ['Flush Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'Yes - year round', 'laundry': 'No', 'amphitheater': 'Yes - year round', 'dumpStation': 'Yes - year round', 'campStore': 'Yes - year round', 'staffOrVolunteerHostOnsite': 'Yes - year round', 'potableWater': ['Yes - year round'], 'iceAvailableForSale': 'Yes - year round', 'firewoodForSale': 'No', 'foodStorageLockers': 'Yes - year round'}"
126,Chopawamsic Backcountry Area,Prince William Forest Park,prwi,"{'trashRecyclingCollection': 'No', 'toilets': ['Vault Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['No water'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
127,Cimarron Campground,Curecanti,cure,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Vault Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'Yes - seasonal', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
128,Circle X Ranch Campground - CLOSED,Santa Monica Mountains,samo,"{'trashRecyclingCollection': 'No', 'toilets': ['Vault Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'Yes - year round', 'potableWater': ['No water'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
129,City of Rocks Campground,City Of Rocks National Reserve,ciro,"{'trashRecyclingCollection': 'No', 'toilets': ['Vault Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
130,Cliffs Group Backpacking Site,Pictured Rocks,piro,"{'trashRecyclingCollection': 'No', 'toilets': ['Vault Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['No water'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
131,Cliffs Individual Backpacking Sites,Pictured Rocks,piro,"{'trashRecyclingCollection': 'No', 'toilets': ['Vault Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['No water'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'Yes - seasonal'}"
132,Cloverleaf Campground,Lake Roosevelt,laro,"{'trashRecyclingCollection': 'Yes - year round', 'toilets': ['Vault Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'Yes - year round', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['No water'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
133,Coast Campground,Point Reyes,pore,"{'trashRecyclingCollection': 'Yes - year round', 'toilets': ['Vault Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['Yes - year round'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'Yes - year round'}"
134,Cold Springs Campground,Sequoia,seki,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Vault Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'Yes - seasonal'}"
135,Cold Springs Campground,Chickasaw,chic,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Flush Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'Yes - year round', 'laundry': 'No', 'amphitheater': 'Yes - seasonal', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
136,Colonial Creek North Campground,North Cascades,noca,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Flush Toilets - seasonal', 'Vault Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'Yes - seasonal', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'Yes - year round'}"
137,Colonial Creek South Campground,North Cascades,noca,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Flush Toilets - seasonal', 'Vault Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'Yes - seasonal', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'Yes - year round'}"
138,Colorado River Primitive Camping Between Glen Canyon Dam and Lees Ferry,Glen Canyon,glca,"{'trashRecyclingCollection': 'No', 'toilets': ['Vault Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['Water', ' but not potable'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
139,Colter Bay Campground,Grand Teton,grte,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Flush Toilets - seasonal'], 'internetConnectivity': 'Yes - seasonal', 'showers': ['Coin-Operated - Seasonal'], 'cellPhoneReception': 'Yes - year round', 'laundry': 'Yes - seasonal', 'amphitheater': 'Yes - seasonal', 'dumpStation': 'Yes - seasonal', 'campStore': 'Yes - seasonal', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - year round'], 'iceAvailableForSale': 'Yes - seasonal', 'firewoodForSale': 'Yes - seasonal', 'foodStorageLockers': 'Yes - seasonal'}"
140,Colter Bay RV Park,Grand Teton,grte,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Flush Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['Coin-Operated - Seasonal'], 'cellPhoneReception': 'Yes - year round', 'laundry': 'Yes - seasonal', 'amphitheater': 'Yes - seasonal', 'dumpStation': 'Yes - seasonal', 'campStore': 'Yes - seasonal', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'Yes - seasonal', 'firewoodForSale': 'Yes - seasonal', 'foodStorageLockers': 'No'}"
141,Colter Bay Tent Village,Grand Teton,grte,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Flush Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['Coin-Operated - Seasonal'], 'cellPhoneReception': 'Yes - year round', 'laundry': 'Yes - seasonal', 'amphitheater': 'Yes - seasonal', 'dumpStation': 'No', 'campStore': 'Yes - seasonal', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'Yes - seasonal', 'firewoodForSale': 'Yes - seasonal', 'foodStorageLockers': 'Yes - seasonal'}"
142,Cosby Campground,Great Smoky Mountains,grsm,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Flush Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'Yes - seasonal', 'dumpStation': 'Yes - seasonal', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'Yes - seasonal'}"
143,Cottonwood Campground,Joshua Tree,jotr,"{'trashRecyclingCollection': 'Yes - year round', 'toilets': ['Flush Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'Yes - year round', 'dumpStation': 'Yes - year round', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['Yes - year round'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
144,Cottonwood Campground,Theodore Roosevelt,thro,"{'trashRecyclingCollection': 'Yes - year round', 'toilets': ['Flush Toilets - seasonal', 'Vault Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'Yes - seasonal', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
145,Cottonwood Campground,Big Bend,bibe,"{'trashRecyclingCollection': 'Yes - year round', 'toilets': ['Vault Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'Yes - year round', 'dumpStation': 'No', 'campStore': 'Yes - year round', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - year round'], 'iceAvailableForSale': 'Yes - year round', 'firewoodForSale': 'No', 'foodStorageLockers': 'Yes - year round'}"
146,Cottonwood Cove Campground (Lake Mohave),Lake Mead,lake,"{'trashRecyclingCollection': '', 'toilets': [], 'internetConnectivity': '', 'showers': [], 'cellPhoneReception': '', 'laundry': '', 'amphitheater': '', 'dumpStation': '', 'campStore': '', 'staffOrVolunteerHostOnsite': '', 'potableWater': [], 'iceAvailableForSale': '', 'firewoodForSale': '', 'foodStorageLockers': ''}"
147,Cottonwood Cove RV Park (Lake Mead),Lake Mead,lake,"{'trashRecyclingCollection': '', 'toilets': [], 'internetConnectivity': '', 'showers': [], 'cellPhoneReception': '', 'laundry': '', 'amphitheater': '', 'dumpStation': '', 'campStore': '', 'staffOrVolunteerHostOnsite': '', 'potableWater': [], 'iceAvailableForSale': '', 'firewoodForSale': '', 'foodStorageLockers': ''}"
148,Cougar Rock Campground,Mount Rainier,mora,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Flush Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'Yes - seasonal', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'Yes - seasonal', 'foodStorageLockers': 'Yes - seasonal'}"
149,Coves Group Backpacking Site,Pictured Rocks,piro,"{'trashRecyclingCollection': 'No', 'toilets': ['Vault Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['Water', ' but not potable'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
150,Coves Individual Backpacking Sites,Pictured Rocks,piro,"{'trashRecyclingCollection': 'No', 'toilets': ['Vault Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['Water', ' but not potable'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'Yes - seasonal'}"
151,Crabtree Falls Campground,Blue Ridge,blri,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Flush Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'Yes - seasonal', 'dumpStation': 'Yes - seasonal', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'Yes - seasonal', 'foodStorageLockers': 'Yes - seasonal'}"
152,Crane Flat Campground,Yosemite,yose,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Flush Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'Yes - seasonal', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'Yes - seasonal'}"
153,Crystal Creek,Whiskeytown,whis,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Vault Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'Yes - year round', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['No water'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'Yes - seasonal'}"
154,Crystal Springs Campground,Sequoia,seki,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Flush Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'Yes - year round', 'laundry': 'No', 'amphitheater': 'Yes - seasonal', 'dumpStation': 'No', 'campStore': 'Yes - year round', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'Yes - year round', 'firewoodForSale': 'Yes - seasonal', 'foodStorageLockers': 'Yes - seasonal'}"
155,Cumberland Valley Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,"{'trashRecyclingCollection': 'No', 'toilets': ['Portable Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'Yes - seasonal', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['Water', ' but not potable'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
156,Cut Bank,Glacier,glac,"{'trashRecyclingCollection': 'No', 'toilets': ['Vault Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['No water'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
