Camp Name,Camp Name,Park Name,Park Code,Amenities
12,Apgar Campground,Glacier,glac,"{'trashRecyclingCollection': 'Yes - year round', 'toilets': ['Flush Toilets - seasonal', 'Vault Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None', 'Free - Seasonal'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'Yes - seasonal', 'dumpStation': 'Yes - seasonal', 'campStore': 'Yes - seasonal', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'Yes - year round'}"
13,Army Camp,New River Gorge,neri,"{'trashRecyclingCollection': 'Yes - year round', 'toilets': ['Composting Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'Yes - year round', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['No water'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
14,Aspenglen Campground,Rocky Mountain,romo,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Flush Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'Yes - seasonal', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'Yes - seasonal', 'firewoodForSale': 'Yes - seasonal', 'foodStorageLockers': 'Yes - seasonal'}"
15,Atwell Mill Campground,Sequoia,seki,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Vault Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'Yes - seasonal'}"
16,Au Sable East Group Backpacking Site,Pictured Rocks,piro,"{'trashRecyclingCollection': '', 'toilets': [], 'internetConnectivity': '', 'showers': [], 'cellPhoneReception': '', 'laundry': '', 'amphitheater': '', 'dumpStation': '', 'campStore': '', 'staffOrVolunteerHostOnsite': '', 'potableWater': [], 'iceAvailableForSale': '', 'firewoodForSale': '', 'foodStorageLockers': ''}"
17,Au Sable East Individual Backpacking Sites,Pictured Rocks,piro,"{'trashRecyclingCollection': 'No', 'toilets': ['Vault Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['Water', ' but not potable'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'Yes - seasonal'}"
18,Avalanche,Glacier,glac,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Flush Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'Yes - seasonal', 'dumpStation': 'Yes - seasonal', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'Yes - seasonal'}"
19,Azalea Campground,Sequoia,seki,"{'trashRecyclingCollection': 'Yes - year round', 'toilets': ['Flush Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'Yes - year round', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'Yes - year round', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - year round'], 'iceAvailableForSale': 'Yes - year round', 'firewoodForSale': 'Yes - seasonal', 'foodStorageLockers': 'Yes - year round'}"
20,Back Country Camping - Green Run,Assateague Island Ns,asis,"{'trashRecyclingCollection': 'Yes - year round', 'toilets': ['Vault Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'Yes - year round', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'Yes - year round', 'campStore': 'Yes - seasonal', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['No water'], 'iceAvailableForSale': 'Yes - seasonal', 'firewoodForSale': 'Yes - seasonal', 'foodStorageLockers': 'No'}"
21,Back Country Camping - Little Levels,Assateague Island Ns,asis,"{'trashRecyclingCollection': 'Yes - year round', 'toilets': ['Vault Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'Yes - year round', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'Yes - year round', 'campStore': 'Yes - seasonal', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['No water'], 'iceAvailableForSale': 'Yes - seasonal', 'firewoodForSale': 'Yes - seasonal', 'foodStorageLockers': 'No'}"
22,Back Country Camping - Pine Tree,Assateague Island Ns,asis,"{'trashRecyclingCollection': 'Yes - year round', 'toilets': ['Vault Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'Yes - year round', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'Yes - year round', 'campStore': 'Yes - seasonal', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['No water'], 'iceAvailableForSale': 'Yes - seasonal', 'firewoodForSale': 'Yes - seasonal', 'foodStorageLockers': 'No'}"
23,Back Country Camping - Pope Bay,Assateague Island Ns,asis,"{'trashRecyclingCollection': 'No', 'toilets': ['Vault Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'Yes - year round', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'Yes - year round', 'campStore': 'Yes - seasonal', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['No water'], 'iceAvailableForSale': 'Yes - seasonal', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
